add R 0110011 000 0000000
sub R 0110011 000 0100000
sll R 0110011 001 0000000
slt R 0110011 010 0000000
sltu R 0110011 011 0000000
xor R 0110011 100 0000000
srl R 0110011 101 0000000
sra R 0110011 101 0100000
or R 0110011 110 0000000
and R 0110011 111 0000000
addw R 0111011 000 0000000
subw R 0111011 000 0100000
sllw R 0111011 001 0000000
slrw R 0111011 101 0000000
sraw R 0111011 101 0100000
addi I 0010011 000
lb I 0000011 000
lh I 0000011 001
lw I 0000011 010
ld I 0000011 011
lbu I 0000011 100
lhu I 0000011 101
lwu I 0000011 110
fence I 0001111 000
fence.i I 0001111 001
slli I 0010011 001 0000000
slti I 0010011 010
sltiu I 0010011 011
xori I 0010011 100
slri I 0010011 101 0000000
srai I 0010011 101 0100000
ori I 0010011 110
andi I 0010011 111
addiw I 0011011 000
slliw I 0011011 001 0000000
srliw I 0011011 101 0000000
sraiw I 0011011 101 0100000
jalr I 1100111 000
ecall I 1110011 000 000000000000
ebreak I 1110011 000 000000000001
csrrw I 1110011 001
csrrs I 1110011 010
csrrc I 1110011 011
csrrwi I 1110011 101
csrrsi I 1110011 110
csrrci I 1110011 111
sw S 0100011 010 -1
sb S 0100011 000 -1
sh S 0100011 001 -1
sd S 0100011 011 -1
beq SB 1100011 000 -1
bne SB 1100011 001 -1
blt SB 1100011 100 -1
bge SB 1100011 101 -1
bltu SB 1100011 110 -1
bgeu SB 1100011 111 -1
auipc U 0010111 -1 -1
lui U 0110111 -1 -1
jal UJ 1101111 -1 -1
mul R 0110011 000 0000001
mulh R 0110011 001 0000001
mulsu R 0110011 010 0000001
mulu R 0110011 011 0000001
div R 0110011 100 0000001
divu R 0110011 101 0000001
rem R 0110011 110 0000001
remu R 0110011 111 0000001
